county_fips,NAICS_CODE,sector_flag,establishments,nonemployers,is_target_sector
34013,493120,Transportation/Warehousing,6.0,,True
34013,49319,Transportation/Warehousing,11.0,,True
34013,493190,Transportation/Warehousing,11.0,,True
34013,51,,345.0,1261.0,False
34013,511,,57.0,,False
34013,5111,,28.0,,False
34013,51111,,7.0,,False
34013,511110,,7.0,,False
34013,51112,,11.0,,False
34013,511120,,11.0,,False
34013,51113,,5.0,,False
34013,511130,,5.0,,False
34013,51114,,3.0,,False
34013,511140,,3.0,,False
34013,5112,,29.0,,False
34013,51121,,29.0,,False
34013,511210,,29.0,,False
34013,512,,74.0,600.0,False
34013,5121,,66.0,446.0,False
34013,51211,,52.0,,False
34013,512110,,52.0,,False
34013,51213,,3.0,,False
34013,512131,,3.0,,False
34013,51219,,11.0,,False
34013,512191,,10.0,,False
34013,5122,,8.0,154.0,False
34013,51223,,3.0,,False
34013,512230,,3.0,,False
34013,51229,,3.0,,False
34013,512290,,3.0,,False
34013,513,,,204.0,False
34013,515,,6.0,,False
34013,5151,,6.0,,False
34013,51511,,3.0,,False
34013,51512,,3.0,,False
34013,515120,,3.0,,False
34013,516,,,103.0,False
34013,517,,146.0,80.0,False
34013,5173,,126.0,,False
34013,51731,,126.0,,False
34013,517311,,75.0,,False
34013,517312,,51.0,,False
34013,5179,,18.0,,False
34013,51791,,18.0,,False
34013,517911,,10.0,,False
34013,517919,,8.0,,False
34013,518,,40.0,130.0,False
34013,5182,,40.0,130.0,False
34013,51821,,40.0,130.0,False
34013,518210,,40.0,,False
34013,519,,22.0,144.0,False
34013,5191,,22.0,,False
34013,51913,,17.0,,False
34013,519130,,17.0,,False
34013,5192,,,144.0,False
34013,52,,813.0,1858.0,False
34013,522,,318.0,135.0,False
34013,5221,,219.0,13.0,False
34013,52211,,154.0,,False
34013,522110,,154.0,,False
34013,52212,,44.0,,False
34013,522120,,44.0,,False
34013,52213,,21.0,,False
34013,522130,,21.0,,False
34013,5222,,40.0,73.0,False
34013,52222,,7.0,,False
34013,522220,,7.0,,False
34013,52229,,32.0,,False
34013,522291,,5.0,,False
34013,522292,,23.0,,False
34013,522298,,4.0,,False
34013,5223,,59.0,49.0,False
34013,52231,,14.0,,False
34013,522310,,14.0,,False
34013,52232,,14.0,,False
34013,522320,,14.0,,False
34013,52239,,31.0,,False
34013,522390,,31.0,,False
34013,523,,212.0,953.0,False
34013,5231,,66.0,64.0,False
34013,52311,,7.0,,False
34013,523110,,7.0,,False
34013,52312,,57.0,,False
34013,523120,,57.0,,False
34013,52315,,,45.0,False
34013,52316,,,19.0,False
34013,5232,,,17.0,False
34013,52321,,,17.0,False
34013,5239,,146.0,872.0,False
34013,52391,,27.0,,False
34013,523910,,27.0,,False
34013,52392,,64.0,,False
34013,523920,,64.0,,False
34013,52393,,48.0,,False
34013,523930,,48.0,,False
34013,52399,,7.0,,False
34013,523991,,5.0,,False
34013,524,,275.0,770.0,False
34013,5241,,64.0,,False
34013,52411,,39.0,,False
34013,524113,,26.0,,False
34013,524114,,13.0,,False
34013,52412,,25.0,,False
34013,524126,,13.0,,False
34013,524127,,12.0,,False
34013,5242,,211.0,768.0,False
34013,52421,,190.0,506.0,False
34013,524210,,190.0,,False
34013,52429,,21.0,262.0,False
34013,524291,,10.0,,False
34013,524292,,3.0,,False
34013,524298,,8.0,,False
34013,525,,8.0,,False
34013,5259,,8.0,,False
34013,52591,,3.0,,False
34013,525910,,3.0,,False
34013,52599,,5.0,,False
34013,525990,,5.0,,False
34013,53,,1005.0,9636.0,False
34013,531,,924.0,9432.0,False
34013,5311,,470.0,4965.0,False
34013,53111,,330.0,,False
34013,531110,,330.0,,False
34013,53112,,108.0,,False
34013,531120,,108.0,,False
34013,53113,,23.0,,False
34013,531130,,23.0,,False
34013,53119,,9.0,,False
34013,531190,,9.0,,False
34013,5312,,171.0,1903.0,False
34013,53121,,171.0,1903.0,False
34013,531210,,171.0,,False
34013,5313,,283.0,2564.0,False
34013,53131,,229.0,803.0,False
34013,531311,,167.0,,False
34013,531312,,62.0,,False
34013,53132,,17.0,52.0,False
34013,531320,,17.0,,False
34013,53139,,37.0,1709.0,False
34013,531390,,37.0,,False
34013,532,,77.0,191.0,False
34013,5321,,41.0,93.0,False
34013,53211,,35.0,,False
34013,532111,,34.0,,False
34013,53212,,6.0,,False
34013,532120,,6.0,,False
34013,5322,,15.0,39.0,False
34013,53221,,4.0,6.0,False
34013,532210,,4.0,,False
34013,53228,,11.0,33.0,False
34013,532282,,,3.0,False
34013,532284,,,9.0,False
34013,532289,,9.0,20.0,False
34013,5323,,,27.0,False
34013,53231,,,27.0,False
34013,5324,,20.0,32.0,False
34013,53241,,4.0,,False
34013,532412,,3.0,,False
34013,53249,,16.0,,False
34013,532490,,16.0,,False
34013,533,,4.0,13.0,False
34013,5331,,4.0,13.0,False
34013,53311,,4.0,13.0,False
34013,533110,,4.0,,False
34013,54,,2180.0,11874.0,False
34013,541,,2180.0,11874.0,False
34013,5411,,574.0,1011.0,False
34013,54111,,546.0,,False
34013,541110,,546.0,,False
34013,54119,,28.0,,False
34013,541191,,11.0,,False
34013,541199,,17.0,,False
34013,5412,,278.0,1022.0,False
34013,54121,,278.0,1022.0,False
34013,541211,,136.0,118.0,False
34013,541213,,56.0,401.0,False
34013,541214,,18.0,8.0,False
34013,541219,,68.0,495.0,False
34013,5413,,201.0,505.0,False
34013,54131,,65.0,191.0,False
34013,541310,,65.0,,False
34013,54132,,9.0,61.0,False
34013,541320,,9.0,,False
34013,54133,,93.0,157.0,False
34013,541330,,93.0,,False
34013,54134,,,29.0,False
34013,54135,,8.0,31.0,False
34013,541350,,8.0,,False
34013,54136,,,3.0,False
34013,54137,,7.0,3.0,False
34013,541370,,7.0,,False
34013,54138,,16.0,30.0,False
34013,541380,,16.0,,False
34013,5414,,96.0,936.0,False
34013,54141,,40.0,,False
34013,541410,,40.0,,False
34013,54143,,45.0,,False
34013,541430,,45.0,,False
34013,54149,,11.0,,False
34013,541490,,11.0,,False
34013,5415,,282.0,892.0,False
34013,54151,,282.0,892.0,False
34013,541511,,132.0,,False
34013,541512,,116.0,,False
34013,541513,,11.0,,False
34013,541519,,23.0,,False
34013,5416,,470.0,3123.0,False
34013,54161,,404.0,,False
34013,541611,,220.0,,False
34013,541612,,29.0,,False
34013,541613,,109.0,,False
34013,541614,,13.0,,False
34013,541618,,33.0,,False
34013,54162,,14.0,,False
34013,541620,,14.0,,False
34013,54169,,52.0,,False
34013,541690,,52.0,,False
34013,5417,,34.0,154.0,False
34013,54171,,32.0,,False
34013,541714,,5.0,,False
34013,541715,,26.0,,False
34013,5418,,110.0,555.0,False
34013,54181,,34.0,,False
34013,541810,,34.0,,False
34013,54182,,33.0,,False
34013,541820,,33.0,,False
34013,54184,,9.0,,False
34013,541840,,9.0,,False
34013,54185,,4.0,,False
34013,541850,,4.0,,False
34013,54186,,3.0,,False
34013,541860,,3.0,,False
34013,54189,,25.0,,False
34013,541890,,25.0,,False
34013,5419,,135.0,3676.0,False
34013,54191,,5.0,151.0,False
34013,541910,,5.0,,False
34013,54192,,39.0,615.0,False
34013,541921,,28.0,,False
34013,541922,,11.0,,False
