NAME,NAICS_CODE,ESTAB,LFO,EMPSZES,state,county,county_fips,sector_flag
"Queens County, New York",423140,8,001,001,36,081,36081,
"Queens County, New York",4232,89,001,001,36,081,36081,
"Queens County, New York",42321,32,001,001,36,081,36081,
"Queens County, New York",423210,32,001,001,36,081,36081,
"Queens County, New York",42322,57,001,001,36,081,36081,
"Queens County, New York",423220,57,001,001,36,081,36081,
"Queens County, New York",4233,122,001,001,36,081,36081,
"Queens County, New York",42332,30,001,001,36,081,36081,
"Queens County, New York",339992,3,001,001,36,081,36081,
"Queens County, New York",339993,3,001,001,36,081,36081,
"Queens County, New York",423,1246,001,001,36,081,36081,
"Queens County, New York",4231,93,001,001,36,081,36081,
"Queens County, New York",42311,26,001,001,36,081,36081,
"Queens County, New York",423110,26,001,001,36,081,36081,
"Queens County, New York",42312,52,001,001,36,081,36081,
"Queens County, New York",42331,42,001,001,36,081,36081,
"Queens County, New York",423310,42,001,001,36,081,36081,
"Queens County, New York",4234,158,001,001,36,081,36081,
"Queens County, New York",423320,30,001,001,36,081,36081,
"Queens County, New York",42333,11,001,001,36,081,36081,
"Queens County, New York",423330,11,001,001,36,081,36081,
"Queens County, New York",42339,39,001,001,36,081,36081,
"Queens County, New York",423390,39,001,001,36,081,36081,
"Queens County, New York",423420,8,001,001,36,081,36081,
"Queens County, New York",42343,15,001,001,36,081,36081,
"Queens County, New York",423430,15,001,001,36,081,36081,
"Queens County, New York",42344,37,001,001,36,081,36081,
"Queens County, New York",423440,37,001,001,36,081,36081,
"Queens County, New York",42345,74,001,001,36,081,36081,
"Queens County, New York",423450,74,001,001,36,081,36081,
"Queens County, New York",42346,14,001,001,36,081,36081,
"Queens County, New York",423460,14,001,001,36,081,36081,
"Queens County, New York",42349,6,001,001,36,081,36081,
"Queens County, New York",423490,6,001,001,36,081,36081,
"Queens County, New York",4235,49,001,001,36,081,36081,
"Queens County, New York",42351,48,001,001,36,081,36081,
"Queens County, New York",42361,72,001,001,36,081,36081,
"Queens County, New York",42341,4,001,001,36,081,36081,
"Queens County, New York",423410,4,001,001,36,081,36081,
"Queens County, New York",42342,8,001,001,36,081,36081,
"Queens County, New York",423510,48,001,001,36,081,36081,
"Queens County, New York",4236,166,001,001,36,081,36081,
"Queens County, New York",423610,72,001,001,36,081,36081,
"Queens County, New York",423690,58,001,001,36,081,36081,
"Queens County, New York",42362,36,001,001,36,081,36081,
"Queens County, New York",423620,36,001,001,36,081,36081,
"Queens County, New York",42369,58,001,001,36,081,36081,
"Queens County, New York",4237,87,001,001,36,081,36081,
"Queens County, New York",42371,33,001,001,36,081,36081,
"Queens County, New York",423710,33,001,001,36,081,36081,
"Queens County, New York",42372,29,001,001,36,081,36081,
"Queens County, New York",42374,7,001,001,36,081,36081,
"Queens County, New York",423740,7,001,001,36,081,36081,
"Queens County, New York",4238,130,001,001,36,081,36081,
"Queens County, New York",42381,6,001,001,36,081,36081,
"Queens County, New York",423810,6,001,001,36,081,36081,
"Queens County, New York",42382,3,001,001,36,081,36081,
"Queens County, New York",423820,3,001,001,36,081,36081,
"Queens County, New York",42383,53,001,001,36,081,36081,
"Queens County, New York",423830,53,001,001,36,081,36081,
"Queens County, New York",42384,28,001,001,36,081,36081,
"Queens County, New York",42385,36,001,001,36,081,36081,
"Queens County, New York",423850,36,001,001,36,081,36081,
"Queens County, New York",42391,19,001,001,36,081,36081,
"Queens County, New York",423720,29,001,001,36,081,36081,
"Queens County, New York",42373,18,001,001,36,081,36081,
"Queens County, New York",423730,18,001,001,36,081,36081,
"Queens County, New York",423840,28,001,001,36,081,36081,
"Queens County, New York",42386,4,001,001,36,081,36081,
"Queens County, New York",423860,4,001,001,36,081,36081,
"Queens County, New York",4239,352,001,001,36,081,36081,
"Queens County, New York",423910,19,001,001,36,081,36081,
"Queens County, New York",42392,31,001,001,36,081,36081,
"Queens County, New York",423920,31,001,001,36,081,36081,
"Queens County, New York",42393,29,001,001,36,081,36081,
"Queens County, New York",423930,29,001,001,36,081,36081,
"Queens County, New York",42394,111,001,001,36,081,36081,
"Queens County, New York",423940,111,001,001,36,081,36081,
"Queens County, New York",42399,162,001,001,36,081,36081,
"Queens County, New York",423990,162,001,001,36,081,36081,
"Queens County, New York",424,1379,001,001,36,081,36081,
"Queens County, New York",4241,69,001,001,36,081,36081,
"Queens County, New York",42411,6,001,001,36,081,36081,
"Queens County, New York",424110,6,001,001,36,081,36081,
"Queens County, New York",42412,24,001,001,36,081,36081,
"Queens County, New York",424120,24,001,001,36,081,36081,
"Queens County, New York",42413,39,001,001,36,081,36081,
"Queens County, New York",424130,39,001,001,36,081,36081,
"Queens County, New York",4242,109,001,001,36,081,36081,
"Queens County, New York",42421,109,001,001,36,081,36081,
"Queens County, New York",424210,109,001,001,36,081,36081,
"Queens County, New York",4243,203,001,001,36,081,36081,
"Queens County, New York",42434,21,001,001,36,081,36081,
"Queens County, New York",424340,21,001,001,36,081,36081,
"Queens County, New York",4244,609,001,001,36,081,36081,
"Queens County, New York",424420,39,001,001,36,081,36081,
"Queens County, New York",42443,22,001,001,36,081,36081,
"Queens County, New York",424430,22,001,001,36,081,36081,
"Queens County, New York",42445,22,001,001,36,081,36081,
"Queens County, New York",42431,33,001,001,36,081,36081,
"Queens County, New York",424310,33,001,001,36,081,36081,
"Queens County, New York",42432,43,001,001,36,081,36081,
"Queens County, New York",424320,43,001,001,36,081,36081,
"Queens County, New York",42433,106,001,001,36,081,36081,
"Queens County, New York",424330,106,001,001,36,081,36081,
"Queens County, New York",42441,114,001,001,36,081,36081,
"Queens County, New York",424410,114,001,001,36,081,36081,
"Queens County, New York",42442,39,001,001,36,081,36081,
"Queens County, New York",42444,8,001,001,36,081,36081,
"Queens County, New York",424440,8,001,001,36,081,36081,
"Queens County, New York",424450,22,001,001,36,081,36081,
"Queens County, New York",42446,48,001,001,36,081,36081,
"Queens County, New York",424460,48,001,001,36,081,36081,
"Queens County, New York",42447,44,001,001,36,081,36081,
