STATE,PUMA,PWGTP,AGEP,SEX,RAC1P,HISP,NATIVITY,ANC1P,ANC2P,SCHL,ESR,PINCP
12,03101,185,66,2,8,1,2,370,999,18.0,6.0,19950.0
12,08624,81,55,2,8,1,1,370,999,22.0,1.0,40000.0
12,08624,94,58,1,8,1,1,370,999,16.0,6.0,18000.0
12,08603,59,55,2,2,1,2,901,370,16.0,1.0,29700.0
12,00901,47,64,1,9,1,2,370,999,20.0,6.0,30000.0
12,00901,47,60,2,9,1,2,370,999,20.0,1.0,28600.0
12,03500,175,24,2,9,1,1,370,999,19.0,2.0,5400.0
12,09506,160,63,1,9,1,2,370,620,11.0,6.0,22100.0
12,09506,189,62,2,9,1,2,370,620,13.0,6.0,0.0
12,10504,85,61,2,9,22,2,370,615,21.0,1.0,60000.0
12,10902,122,34,2,9,1,2,370,999,21.0,2.0,80000.0
12,10902,162,33,1,9,1,2,370,999,20.0,1.0,75000.0
12,10902,220,3,1,9,1,1,370,999,1.0,,
12,10902,220,0,1,9,1,1,370,999,,,
12,01106,44,70,1,6,1,2,370,999,17.0,6.0,15100.0
12,01106,38,61,2,6,1,2,370,999,16.0,6.0,0.0
12,01106,131,27,1,6,1,1,370,999,20.0,1.0,37500.0
12,09506,143,60,2,8,1,2,370,999,19.0,1.0,52000.0
12,09506,127,57,1,8,1,2,370,999,20.0,3.0,57000.0
12,09506,297,29,2,8,1,2,370,999,16.0,1.0,15000.0
12,09506,296,47,1,8,1,2,370,999,16.0,6.0,0.0
12,09506,454,13,2,8,1,1,370,939,10.0,,
12,09506,454,9,2,8,1,1,370,939,5.0,,
12,09506,348,7,1,8,1,1,370,939,4.0,,
12,09506,393,3,1,8,1,1,370,939,1.0,,
12,10303,145,38,2,2,1,1,370,999,14.0,1.0,99000.0
12,09508,49,63,1,8,1,1,142,370,22.0,1.0,67000.0
12,09508,41,23,1,8,1,1,142,370,16.0,1.0,40000.0
12,01107,80,34,2,6,1,1,370,314,23.0,1.0,22000.0
12,01107,84,6,1,6,1,1,370,314,3.0,,
12,01107,88,4,2,6,1,1,370,314,2.0,,
12,01107,74,3,1,6,1,1,370,314,2.0,,
12,10104,316,42,2,2,1,2,370,999,21.0,1.0,100000.0
12,08303,56,88,1,2,1,2,370,999,16.0,6.0,60300.0
12,10308,80,31,1,9,21,2,370,999,22.0,1.0,128000.0
12,09506,56,67,1,2,1,2,370,999,18.0,6.0,17800.0
12,09506,61,68,2,2,1,2,370,999,16.0,6.0,6500.0
12,01106,46,43,2,6,1,2,370,308,22.0,1.0,65000.0
12,01106,68,17,2,6,1,1,370,931,14.0,6.0,4000.0
12,06903,58,39,2,8,1,1,370,999,21.0,1.0,98000.0
12,06903,65,43,1,8,1,1,370,999,17.0,1.0,36600.0
12,06903,58,15,2,8,1,1,370,999,12.0,,0.0
12,06903,61,13,2,8,1,1,370,999,10.0,,
12,09906,28,31,1,6,1,2,314,370,18.0,1.0,90000.0
12,08610,84,55,1,9,1,2,615,370,21.0,1.0,252000.0
12,07103,74,36,2,9,1,2,370,999,12.0,6.0,8600.0
12,07103,149,60,1,9,1,2,370,999,11.0,6.0,64600.0
12,07103,80,6,1,9,1,2,370,999,3.0,,
12,05704,193,48,2,2,1,2,370,999,17.0,1.0,51000.0
12,11103,133,65,1,9,1,2,370,335,20.0,1.0,38500.0
12,11103,96,7,1,9,1,1,402,370,5.0,,
12,11103,96,41,1,6,1,2,370,999,15.0,1.0,24000.0
12,11103,151,38,2,6,1,2,370,999,16.0,1.0,43700.0
12,03104,99,54,1,9,1,2,370,999,16.0,1.0,39800.0
12,10303,54,24,1,8,1,1,370,999,16.0,1.0,28000.0
12,09509,25,70,1,8,1,2,370,999,20.0,1.0,21200.0
12,09509,23,68,2,8,1,2,370,620,20.0,1.0,26100.0
12,09502,92,16,1,1,1,1,022,370,12.0,6.0,0.0
12,09502,72,13,1,1,1,1,022,370,10.0,,
12,09502,94,12,2,1,1,1,022,370,9.0,,
12,10308,79,59,2,8,1,2,370,999,21.0,1.0,59000.0
12,01902,113,45,2,2,1,2,370,999,21.0,6.0,59200.0
12,05300,71,60,1,8,1,2,370,999,16.0,1.0,48000.0
12,09903,72,74,1,9,1,2,370,999,19.0,6.0,4700.0
12,01115,49,58,2,2,1,2,370,999,23.0,6.0,83000.0
12,09502,109,9,1,9,1,1,370,924,5.0,,
12,09502,114,3,1,9,1,1,370,924,1.0,,
12,09502,138,33,2,8,1,2,370,999,16.0,1.0,35000.0
12,08303,117,63,1,8,1,2,370,999,17.0,6.0,10600.0
12,08303,106,54,2,8,1,2,370,999,15.0,6.0,0.0
12,08303,119,26,1,8,1,1,370,999,21.0,1.0,11000.0
12,08303,120,25,1,8,1,1,370,999,20.0,3.0,13000.0
12,01111,86,63,1,9,1,2,370,999,19.0,1.0,35000.0
12,01111,81,62,2,9,1,2,370,999,19.0,1.0,35000.0
12,09505,136,37,2,6,1,2,730,370,21.0,1.0,51000.0
12,01115,230,44,2,9,1,2,370,999,18.0,1.0,75000.0
12,01103,263,54,1,8,1,2,370,999,21.0,1.0,80000.0
12,01103,302,51,2,8,1,2,370,999,16.0,1.0,30000.0
12,08616,169,72,1,8,22,2,370,615,19.0,6.0,10100.0
12,09905,35,48,2,8,1,2,370,999,20.0,1.0,75000.0
12,09905,44,21,2,2,1,1,308,370,19.0,1.0,33000.0
12,09905,46,16,2,2,1,1,308,370,13.0,1.0,10000.0
12,01115,198,57,2,8,1,2,370,999,21.0,1.0,75000.0
12,01500,196,36,2,9,1,1,370,903,21.0,1.0,29000.0
12,01107,49,62,2,9,1,1,370,999,17.0,1.0,10600.0
12,07302,46,29,2,9,1,1,370,939,22.0,1.0,48000.0
12,10504,146,47,1,9,1,2,370,999,16.0,1.0,21200.0
12,06903,60,31,1,9,1,1,370,999,15.0,1.0,36000.0
12,10102,98,33,2,9,1,1,370,084,22.0,1.0,43000.0
12,06903,164,71,1,8,1,2,370,999,16.0,6.0,9900.0
12,06903,144,67,2,8,1,2,370,999,16.0,6.0,0.0
12,06903,251,33,1,8,1,2,370,999,15.0,6.0,60000.0
12,12704,38,48,2,8,1,2,370,999,16.0,6.0,0.0
12,08303,87,62,2,9,1,2,370,999,16.0,6.0,10.0
12,09506,90,52,1,8,1,2,370,999,6.0,1.0,42000.0
12,09506,66,16,2,8,1,2,370,999,12.0,6.0,0.0
12,09506,66,75,2,8,1,2,370,999,9.0,6.0,5000.0
12,07302,45,73,1,2,1,2,370,999,20.0,1.0,60600.0
12,07302,37,72,2,2,1,2,370,999,17.0,6.0,5700.0
12,05707,53,10,1,9,22,2,370,999,8.0,,
12,05707,45,7,2,9,22,2,370,999,4.0,,
12,05707,51,0,2,9,22,1,370,999,,,
12,09703,258,36,2,9,1,2,370,999,21.0,1.0,72800.0
12,09911,22,77,1,6,1,2,370,999,21.0,6.0,34600.0
12,09911,25,74,2,6,1,2,370,999,11.0,6.0,10800.0
12,10501,107,66,1,6,1,2,370,999,15.0,6.0,11300.0
12,10501,72,67,2,6,1,2,370,999,16.0,2.0,26900.0
12,00901,49,86,2,8,1,2,370,999,16.0,6.0,10000.0
12,10103,128,33,2,2,1,1,370,999,18.0,3.0,31500.0
12,01117,102,62,1,8,1,2,370,999,16.0,1.0,13100.0
12,05709,42,84,2,9,1,2,370,999,20.0,6.0,15300.0
12,09502,132,76,1,8,1,2,370,999,16.0,6.0,10600.0
12,01117,92,70,2,9,1,2,370,999,21.0,1.0,135000.0
12,11702,201,50,1,9,1,1,902,370,19.0,1.0,92000.0
12,01700,109,71,2,9,1,2,370,999,22.0,1.0,2040.0
12,09507,42,37,1,9,1,2,370,999,21.0,1.0,595000.0
12,08302,1176,54,2,9,1,2,370,999,21.0,2.0,24000.0
12,09703,82,42,1,8,22,2,370,999,21.0,1.0,58000.0
12,09702,304,52,1,8,1,2,370,999,20.0,6.0,60000.0
12,09702,254,49,2,8,1,1,370,999,21.0,6.0,0.0
12,09702,289,18,2,8,1,1,370,999,16.0,6.0,0.0
12,01106,302,44,2,2,1,2,370,999,22.0,1.0,5000.0
12,09904,303,57,1,9,1,2,370,999,21.0,6.0,51300.0
12,09507,106,59,2,9,22,2,314,370,19.0,1.0,40000.0
12,08606,94,6,1,9,1,1,370,336,3.0,,
12,05707,78,27,2,1,1,1,924,370,19.0,3.0,15000.0
12,06902,15,54,2,6,1,2,370,999,16.0,1.0,40000.0
12,09701,280,32,2,2,1,2,370,999,16.0,1.0,18800.0
12,09907,399,30,2,9,1,1,370,939,21.0,1.0,37000.0
12,09907,375,3,2,9,1,1,336,370,1.0,,
12,09502,34,36,2,8,1,1,370,999,21.0,1.0,31000.0
12,09502,54,32,2,8,1,1,370,999,19.0,1.0,40000.0
12,09502,38,66,2,8,1,2,730,370,11.0,6.0,7500.0
12,03106,168,34,1,9,1,1,370,914,21.0,1.0,100000.0
12,01102,67,70,2,8,1,2,370,999,15.0,6.0,18100.0
12,01106,60,49,2,9,4,1,271,370,21.0,1.0,138000.0
12,01113,40,58,2,8,1,2,370,999,22.0,1.0,106000.0
12,01113,42,60,1,8,1,2,370,999,22.0,1.0,65000.0
12,01113,53,33,1,8,1,2,370,999,20.0,6.0,0.0
12,01113,39,27,2,8,1,1,370,999,21.0,1.0,37000.0
12,01113,64,95,2,8,1,2,370,999,15.0,6.0,9000.0
12,09506,111,22,1,8,1,2,370,999,19.0,1.0,46800.0
12,08623,56,76,1,9,1,2,370,999,24.0,6.0,205600.0
12,09906,57,52,2,9,1,2,901,370,22.0,1.0,70000.0
12,01105,103,25,1,1,1,1,370,051,21.0,1.0,34400.0
12,03102,50,70,2,9,1,2,370,999,20.0,6.0,14300.0
12,05703,81,70,1,6,1,2,370,615,21.0,6.0,2400.0
12,08303,147,71,1,9,1,2,903,370,20.0,6.0,0.0
12,10101,197,65,2,8,1,2,370,999,12.0,6.0,470.0
12,10101,257,69,1,8,1,2,370,999,8.0,6.0,1400.0
12,09506,194,60,2,8,1,2,370,939,16.0,1.0,10000.0
12,09506,211,37,1,8,1,2,370,939,16.0,1.0,260000.0
12,05708,38,51,1,9,1,2,370,999,21.0,1.0,150000.0
12,10302,75,40,2,6,1,1,939,370,22.0,1.0,50000.0
12,10504,623,41,2,9,1,2,370,999,19.0,6.0,910.0
12,10504,597,38,1,9,1,2,370,999,19.0,1.0,28600.0
12,09506,85,29,2,6,1,1,370,999,21.0,3.0,15000.0
12,09505,76,18,1,9,1,1,370,308,17.0,1.0,21400.0
12,12704,159,27,1,1,1,1,370,999,16.0,1.0,78000.0
12,11503,95,53,1,2,1,2,370,999,21.0,1.0,82000.0
12,11503,108,10,1,8,1,1,051,370,7.0,,
12,01106,75,40,2,8,1,1,370,999,22.0,1.0,21500.0
12,10306,174,75,1,9,1,2,370,999,21.0,6.0,16700.0
12,09910,44,69,1,6,1,2,370,999,21.0,6.0,36000.0
12,09910,86,71,2,6,1,2,370,999,23.0,6.0,21700.0
12,10505,44,22,2,9,1,1,032,370,20.0,1.0,20000.0
12,10505,52,20,1,9,1,1,032,370,18.0,1.0,20000.0
12,10305,22,76,1,3,1,2,370,999,14.0,6.0,10700.0
12,11704,30,48,1,9,1,2,011,370,21.0,1.0,56700.0
12,11704,42,12,1,9,1,2,011,370,11.0,,
12,11704,52,10,2,9,1,2,011,370,9.0,,
12,11704,71,4,1,9,1,2,011,370,2.0,,
12,11704,62,4,2,9,1,2,011,370,2.0,,
12,08621,44,52,1,6,1,2,370,999,17.0,1.0,86000.0
12,08621,43,44,2,6,1,2,370,999,17.0,1.0,10000.0
12,08621,45,13,1,6,1,1,370,999,10.0,,
12,08621,59,17,2,6,1,1,370,999,14.0,6.0,0.0
12,01102,201,42,1,9,1,2,370,999,17.0,1.0,50000.0
12,08621,72,76,1,9,1,2,370,999,22.0,1.0,26200.0
12,08621,80,52,2,9,1,2,370,999,20.0,1.0,25000.0
12,08621,98,28,1,8,1,1,370,999,19.0,1.0,13000.0
12,08621,97,22,1,9,1,1,370,999,20.0,1.0,15400.0
12,08621,105,21,2,9,1,2,370,999,19.0,1.0,18000.0
12,08621,61,19,2,9,1,2,370,999,19.0,1.0,7000.0
12,08621,89,18,1,9,1,2,370,999,14.0,6.0,10800.0
12,11103,96,37,2,9,1,1,370,999,21.0,1.0,28800.0
12,11103,57,8,2,9,1,1,370,032,4.0,,
12,11103,57,8,1,9,1,1,370,032,4.0,,
12,01105,70,60,2,9,1,2,370,999,17.0,1.0,32000.0
12,01105,118,38,1,9,1,2,370,999,17.0,1.0,46000.0
12,01104,137,56,1,9,1,2,370,999,16.0,1.0,120000.0
12,01104,153,23,1,9,1,1,370,999,20.0,1.0,25000.0
12,10301,244,40,2,9,1,1,308,370,22.0,3.0,23900.0
12,09701,90,62,1,6,1,2,370,249,20.0,3.0,18000.0
12,09503,64,38,2,8,1,1,370,999,21.0,3.0,38500.0
12,09503,97,38,1,8,1,1,370,939,16.0,1.0,65000.0
12,09503,76,9,2,8,1,1,370,939,6.0,,
12,09503,81,0,1,8,1,1,370,939,,,
12,03103,134,36,2,9,1,1,301,370,22.0,1.0,81000.0
12,05704,59,34,1,9,1,1,022,370,22.0,1.0,595500.0
12,05704,61,7,1,9,1,1,050,370,4.0,,
12,05704,60,5,1,9,1,1,050,370,1.0,,
12,05704,71,3,1,9,1,1,050,370,1.0,,
12,05704,55,0,2,9,1,1,050,370,,,
12,08500,142,62,2,6,1,2,370,620,15.0,3.0,4200.0
12,01111,88,35,2,6,1,1,615,370,22.0,2.0,90000.0
12,09503,105,36,1,6,1,1,370,999,21.0,1.0,150000.0
12,09503,85,8,2,6,1,1,314,370,5.0,,
12,09503,62,6,1,6,1,1,314,370,1.0,,
