orig_fips,dest_fips,returns
97001,01057,199
97003,01057,63
98000,01057,-1
01057,01057,5122
01125,01057,58
01093,01057,33
01127,01057,25
01075,01057,23
01107,01057,12
58000,01057,48
59000,01057,63
96000,01059,561
97000,01059,561
97001,01059,336
97003,01059,225
98000,01059,-1
01059,01059,9843
01033,01059,98
01093,01059,50
01077,01059,40
28057,01059,31
28141,01059,30
01133,01059,27
01079,01059,23
01103,01059,15
01073,01059,14
01125,01059,10
01127,01059,10
58000,01059,49
59000,01059,164
96000,01061,580
97000,01061,580
97001,01061,351
97003,01061,229
98000,01061,-1
01061,01061,7930
01069,01061,159
01031,01061,70
01045,01061,41
12059,01061,28
01039,01061,17
12005,01061,12
58000,01061,64
59000,01061,189
59001,01061,12
59003,01061,12
59005,01061,150
59007,01061,15
96000,01063,146
97000,01063,146
97001,01063,105
97003,01063,41
98000,01063,-1
01063,01063,2668
01125,01063,53
01091,01063,13
58000,01063,39
59000,01063,41
96000,01065,280
97000,01065,280
97001,01065,217
97003,01065,63
98000,01065,-1
01065,01065,4994
01125,01065,123
01091,01065,18
01105,01065,13
58000,01065,63
59000,01065,63
96000,01067,440
97000,01067,440
97001,01067,319
97003,01067,121
98000,01067,-1
01067,01067,5368
01069,01067,165
01005,01067,43
01045,01067,43
58000,01067,68
59000,01067,121
96000,01069,2612
97000,01069,2589
97001,01069,1320
97003,01069,1269
98000,01069,23
01069,01069,33209
01045,01069,351
01067,01069,157
01061,01069,155
01031,01069,123
12005,01069,73
01073,01069,61
01005,01069,58
01101,01069,56
12063,01069,55
01109,01069,47
01081,01069,30
01123,01069,28
13099,01069,27
01097,01069,26
01039,01069,23
01003,01069,22
01125,01069,22
12073,01069,22
12091,01069,22
01117,01069,21
12033,01069,21
12057,01069,21
13215,01069,19
12059,01069,18
01089,01069,17
13121,01069,16
48027,01069,16
12031,01069,15
12103,01069,15
13087,01069,15
12095,01069,14
13253,01069,14
01051,01069,13
12011,01069,13
12105,01069,13
12086,01069,12
12113,01069,12
12133,01069,12
13067,01069,12
13095,01069,12
13089,01069,11
47125,01069,11
13245,01069,10
58000,01069,110
59000,01069,768
59001,01069,66
59003,01069,121
59005,01069,484
59007,01069,97
57009,01069,23
96000,01071,817
97000,01071,817
97001,01071,425
97003,01071,392
98000,01071,-1
01071,01071,17077
01049,01071,145
01089,01071,86
01095,01071,59
47115,01071,42
47065,01071,39
13083,01071,17
01103,01071,14
01021,01071,12
01073,01071,12
13047,01071,11
13295,01071,11
01015,01071,10
58000,01071,87
59000,01071,272
96000,01073,11019
97000,01073,10944
97001,01073,6339
97003,01073,4605
98000,01073,75
01073,01073,223549
01117,01073,1897
01115,01073,612
01125,01073,514
01009,01073,340
01101,01073,336
01089,01073,280
01127,01073,255
01097,01073,170
13121,01073,164
01055,01073,140
01081,01073,139
01015,01073,133
01043,01073,129
01121,01073,115
01003,01073,110
13089,01073,107
13067,01073,105
01051,01073,83
13135,01073,82
01021,01073,78
01007,01073,77
01103,01073,77
47157,01073,70
