orig_fips,dest_fips,returns
12011,40027,20
12011,40109,56
12011,40143,34
12011,41051,68
12011,41067,36
12011,42003,156
12011,42011,34
12011,42017,84
12011,42029,46
12011,42043,24
12011,42045,80
12011,42069,30
12011,42071,32
12011,42077,64
12011,42079,40
12011,42091,134
12011,42101,254
12011,42129,20
12011,42133,20
12011,44003,40
12011,44005,22
12011,44007,108
12011,45013,78
12011,45015,36
12011,45019,96
12011,45035,26
12011,45045,108
12011,45051,64
12011,45063,40
12011,45079,94
12011,45083,20
12011,45091,52
12011,46099,36
12011,46103,24
12011,47035,20
12011,47037,152
12011,47065,60
12011,47093,70
12011,47119,24
12011,47149,32
12011,47155,30
12011,47157,110
12011,47179,20
12011,47187,56
12011,47189,22
12011,48027,60
12011,48029,206
12011,48039,34
12011,48061,30
12011,48085,174
12011,48113,376
12011,48121,138
12011,48141,80
12011,48157,110
12011,48167,24
12011,48201,536
12011,48215,52
12011,48303,26
12011,48309,20
12011,48339,54
12011,48439,160
12011,48441,24
12011,48453,186
12011,48491,74
12011,48505,22
12011,49035,82
12011,50007,30
12011,51013,138
12011,51041,26
12011,51059,252
12011,51087,48
12011,51107,108
12011,51153,84
12011,51179,32
12011,51510,66
12011,51550,38
12011,51650,26
12011,51700,30
12011,51710,64
12011,51760,34
12011,51810,110
12011,53011,26
12011,53033,258
12011,53035,20
12011,53053,76
12011,53061,42
12011,53063,34
12011,53067,34
12011,54033,22
12011,54039,36
12011,54045,118
12011,55025,28
12011,55079,46
12011,56021,40
12011,57001,287
12011,57003,141
12011,57005,163
12011,57007,13
12011,58000,70
12011,59000,3081
12011,59001,415
12011,59003,790
12011,59005,1457
12011,59007,419
12011,96000,49638
12011,97000,49034
12011,97001,32279
12011,97003,16755
12011,98000,604
12015,12011,200
12015,36081,22
12017,12011,130
12019,12011,184
12019,36081,20
12021,12011,640
12021,34013,20
12021,36047,62
12021,36081,58
12023,12011,62
12031,12011,1130
12031,34013,32
12031,36047,172
12031,36081,102
12033,12011,168
12033,36047,30
12033,36081,26
12035,12011,110
12035,36047,38
12039,12011,44
12043,12011,20
12049,12011,24
12051,12011,112
12053,12011,150
12053,36081,30
12055,12011,184
12057,12011,2542
12057,34013,86
12057,36047,334
12057,36081,218
12061,12011,272
12061,36047,22
12063,12011,32
12069,12011,294
12069,34013,22
12069,36047,36
12069,36081,72
12071,12011,1250
12071,34013,40
12071,36047,100
12071,36081,104
12073,12011,912
12073,34013,20
12073,36047,70
12073,36081,44
12075,12011,46
12081,12011,270
12081,36047,48
12081,36081,84
12083,12011,404
12083,36047,68
12083,36081,60
12085,12011,280
12085,36047,20
12086,12011,36144
12086,34013,166
12086,36047,872
12086,36081,842
12087,12011,396
12089,12011,30
12091,12011,108
12093,12011,56
12095,12011,2484
12095,34013,140
12095,36047,532
12095,36081,508
12095,36093,22
12097,12011,400
12097,34013,38
12097,36047,164
12097,36081,242
12099,12011,11898
12099,34013,158
12099,36047,434
12099,36081,420
12101,12011,348
12101,36047,46
12101,36081,64
12103,12011,800
12103,34013,28
12103,36047,176
12103,36081,114
12105,12011,662
12105,34013,50
12105,36047,86
12105,36081,68
12107,12011,38
12109,12011,204
12109,36047,24
12111,12011,1106
12111,36047,74
12111,36081,50
12113,12011,84
12115,12011,356
12115,36047,60
12115,36081,56
12117,12011,610
12117,36047,112
12117,36081,120
12119,12011,54
12121,12011,58
12123,12011,20
12127,12011,520
12127,34013,32
12127,36047,84
12127,36081,60
12131,12011,32
13015,12011,20
13021,12011,56
13045,12011,24
13051,12011,112
13051,36047,62
13051,36081,42
13057,12011,70
13059,12011,22
13059,36047,52
13063,12011,144
13063,34013,24
13063,36047,112
13063,36081,44
13067,12011,336
13067,34013,50
13067,36047,182
13067,36081,68
13073,12011,20
13077,12011,20
13089,12011,412
13089,34013,64
13089,36047,312
13089,36081,182
13095,12011,40
13097,12011,104
13097,36047,28
13113,12011,42
13117,12011,48
13121,12011,616
13121,34013,96
13121,36047,404
13121,36081,244
13121,36093,22
13127,12011,20
13135,12011,452
13135,34013,78
13135,36047,216
13135,36081,220
13139,12011,32
13151,12011,130
13151,36047,44
13151,36081,34
13153,12011,40
13153,36047,24
13179,12011,32
13185,12011,70
13215,12011,44
13217,12011,42
13217,36047,30
13223,12011,64
13245,12011,54
13245,36047,24
13247,12011,58
13247,36047,42
13261,36047,22
13297,12011,26
13299,12011,20
15003,12011,136
15003,36047,128
15003,36081,126
16001,12011,30
16001,36047,20
17019,36047,32
17019,36081,30
17031,12011,894
17031,34013,84
17031,36047,1070
17031,36081,516
17031,36093,26
17043,12011,148
17043,36047,104
17043,36081,38
17089,12011,52
17097,12011,106
17097,36047,70
17097,36081,32
17111,12011,40
17143,12011,36
17163,12011,20
17167,12011,20
17197,12011,64
17197,36081,20
17201,12011,40
18003,12011,30
18057,12011,50
18057,36047,24
18081,12011,26
18089,12011,44
18089,36047,24
18097,12011,120
18097,36047,94
18097,36081,58
18105,36047,30
18105,36081,26
18141,12011,38
18141,36047,22
18157,36081,22
19061,12011,24
19103,12011,20
19103,36047,34
19113,12011,20
19153,12011,42
19153,36047,28
20061,12011,22
20091,12011,68
20091,36047,48
20091,36081,34
20173,12011,42
20173,36047,30
20177,12011,20
21015,12011,26
21067,12011,68
21067,36047,32
21111,12011,114
21111,36047,78
21111,36081,38
21117,12011,22
21117,36047,20
22015,12011,40
22017,12011,28
22033,12011,68
22033,36047,46
22033,36081,24
22051,12011,60
22051,36047,48
22051,36081,36
22055,12011,28
22071,12011,68
22071,36047,84
22071,36081,24
22103,12011,34
23005,12011,66
23005,36047,100
23005,36081,30
23011,12011,30
23019,12011,36
23031,12011,62
23031,36047,20
23031,36081,20
24003,12011,134
24003,34013,20
24003,36047,90
24003,36081,56
24005,12011,194
24005,34013,46
24005,36047,208
24005,36081,110
24013,12011,36
24017,12011,40
24021,12011,28
24021,36047,40
24021,36081,20
24025,12011,44
24025,36047,44
24025,36081,28
24027,12011,72
24027,34013,20
24027,36047,84
24027,36081,48
24031,12011,250
24031,34013,96
24031,36047,328
24031,36081,218
24033,12011,162
24033,34013,48
24033,36047,234
24033,36081,168
24043,36047,28
24043,36081,20
