nta,ntaname,estimate,moe
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,19,38
SI0103,Rosebank-Shore Acres-Park Hill,70,78
SI0104,West New Brighton-Silver Lake-Grymes Hill,85,84
SI0105,Westerleigh-Castleton Corners,0,44
SI0106,Port Richmond,15,40
SI0107,Mariner's Harbor-Arlington-Graniteville,178,154
SI0191,Snug Harbor,0,13
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,54,79
SI0202,New Dorp-Midland Beach,0,37
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,37,57
SI0204,New Springville-Willowbrook-Bulls Head-Travis,9,48
SI0291,Freshkills Park (North),0,13
SI0301,Oakwood-Richmondtown,0,38
SI0302,Great Kills-Eltingville,0,53
SI0303,Arden Heights-Rossville,49,86
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,87,118
SI0305,Tottenville-Charleston,0,29
SI0391,Freshkills Park (South),0,13
SI9561,Fort Wadsworth,0,13
SI9591,Hoffman & Swinburne Islands,0,13
SI9592,Miller Field,0,13
SI9593,Great Kills Park,0,13
