state,county,tract,geoid,estimate,moe,state_abbr
36,005,037200,36005037200,137.0,174.0,NY
36,005,037300,36005037300,62.0,93.0,NY
36,005,037400,36005037400,67.0,78.0,NY
36,005,037504,36005037504,0.0,13.0,NY
36,005,037600,36005037600,78.0,50.0,NY
36,005,037800,36005037800,0.0,13.0,NY
36,005,037900,36005037900,8.0,19.0,NY
36,005,038000,36005038000,41.0,61.0,NY
36,005,038100,36005038100,0.0,19.0,NY
36,005,038200,36005038200,35.0,62.0,NY
36,005,038301,36005038301,0.0,13.0,NY
36,005,038303,36005038303,126.0,171.0,NY
36,005,038304,36005038304,0.0,13.0,NY
36,005,038500,36005038500,8.0,19.0,NY
36,005,038600,36005038600,148.0,161.0,NY
36,005,038700,36005038700,65.0,74.0,NY
36,005,038800,36005038800,41.0,68.0,NY
36,005,038900,36005038900,0.0,19.0,NY
36,005,039000,36005039000,108.0,81.0,NY
36,005,039100,36005039100,0.0,19.0,NY
36,005,039200,36005039200,0.0,13.0,NY
36,005,039300,36005039300,0.0,19.0,NY
36,005,039400,36005039400,0.0,13.0,NY
36,005,039500,36005039500,0.0,13.0,NY
36,005,039600,36005039600,70.0,108.0,NY
36,005,039700,36005039700,0.0,13.0,NY
36,005,039800,36005039800,0.0,13.0,NY
36,005,039901,36005039901,128.0,149.0,NY
36,005,039902,36005039902,51.0,81.0,NY
36,005,040100,36005040100,0.0,13.0,NY
36,005,040302,36005040302,6.0,11.0,NY
36,005,040303,36005040303,57.0,90.0,NY
36,005,040304,36005040304,0.0,13.0,NY
36,005,040400,36005040400,0.0,13.0,NY
36,005,040501,36005040501,20.0,31.0,NY
36,005,040502,36005040502,15.0,55.0,NY
36,005,040600,36005040600,464.0,364.0,NY
36,005,040701,36005040701,0.0,13.0,NY
36,005,040702,36005040702,12.0,20.0,NY
36,005,040800,36005040800,191.0,172.0,NY
36,005,040900,36005040900,18.0,36.0,NY
36,005,041100,36005041100,27.0,48.0,NY
36,005,041300,36005041300,41.0,66.0,NY
36,005,041400,36005041400,100.0,133.0,NY
36,005,041500,36005041500,0.0,19.0,NY
36,005,041800,36005041800,186.0,171.0,NY
36,005,041900,36005041900,43.0,29.0,NY
36,005,042000,36005042000,113.0,175.0,NY
36,005,042100,36005042100,19.0,32.0,NY
36,005,042200,36005042200,79.0,81.0,NY
36,005,042300,36005042300,62.0,66.0,NY
36,005,042400,36005042400,15.0,23.0,NY
36,005,042500,36005042500,0.0,19.0,NY
36,005,042600,36005042600,25.0,111.0,NY
36,005,042800,36005042800,297.0,437.0,NY
36,005,042901,36005042901,12.0,20.0,NY
36,005,042902,36005042902,46.0,54.0,NY
36,005,043000,36005043000,539.0,523.0,NY
36,005,043101,36005043101,27.0,34.0,NY
36,005,043102,36005043102,33.0,55.0,NY
36,005,043400,36005043400,188.0,204.0,NY
36,005,043501,36005043501,8.0,16.0,NY
36,005,043502,36005043502,0.0,13.0,NY
36,005,043503,36005043503,0.0,13.0,NY
36,005,043600,36005043600,403.0,452.0,NY
36,005,044200,36005044200,552.0,470.0,NY
36,005,044400,36005044400,0.0,13.0,NY
36,005,044800,36005044800,15.0,24.0,NY
36,005,044901,36005044901,0.0,13.0,NY
36,005,044902,36005044902,0.0,13.0,NY
36,005,045101,36005045101,0.0,13.0,NY
36,005,045102,36005045102,38.0,57.0,NY
36,005,045600,36005045600,280.0,363.0,NY
36,005,045800,36005045800,0.0,19.0,NY
36,005,046000,36005046000,0.0,13.0,NY
36,005,046203,36005046203,25.0,46.0,NY
36,005,046204,36005046204,0.0,19.0,NY
36,005,046205,36005046205,0.0,13.0,NY
36,005,046206,36005046206,38.0,64.0,NY
36,005,046207,36005046207,0.0,19.0,NY
36,005,046208,36005046208,428.0,515.0,NY
36,005,046209,36005046209,0.0,13.0,NY
36,005,048401,36005048401,3.0,4.0,NY
36,005,048402,36005048402,0.0,13.0,NY
36,005,050400,36005050400,0.0,13.0,NY
36,005,051601,36005051601,0.0,13.0,NY
36,005,051602,36005051602,0.0,13.0,NY
36,047,000100,36047000100,11.0,21.0,NY
36,047,000200,36047000200,0.0,13.0,NY
36,047,000301,36047000301,0.0,13.0,NY
36,047,000501,36047000501,0.0,13.0,NY
36,047,000502,36047000502,0.0,13.0,NY
36,047,000700,36047000700,0.0,13.0,NY
36,047,000900,36047000900,18.0,29.0,NY
36,047,001100,36047001100,0.0,13.0,NY
36,047,001300,36047001300,26.0,39.0,NY
36,047,001501,36047001501,0.0,13.0,NY
36,047,001502,36047001502,0.0,19.0,NY
36,047,001801,36047001801,0.0,13.0,NY
36,047,001802,36047001802,0.0,13.0,NY
36,047,001803,36047001803,0.0,13.0,NY
36,047,001804,36047001804,0.0,13.0,NY
36,047,002000,36047002000,9.0,21.0,NY
36,047,002100,36047002100,32.0,57.0,NY
36,047,002200,36047002200,0.0,13.0,NY
36,047,002300,36047002300,0.0,13.0,NY
36,047,002901,36047002901,0.0,13.0,NY
36,047,003000,36047003000,13.0,25.0,NY
36,047,003101,36047003101,18.0,22.0,NY
36,047,003102,36047003102,0.0,13.0,NY
36,047,003300,36047003300,0.0,13.0,NY
36,047,003400,36047003400,0.0,13.0,NY
36,047,003500,36047003500,14.0,22.0,NY
36,047,003600,36047003600,37.0,58.0,NY
36,047,003700,36047003700,118.0,185.0,NY
36,047,003800,36047003800,0.0,13.0,NY
36,047,003900,36047003900,0.0,13.0,NY
36,047,004100,36047004100,0.0,13.0,NY
36,047,004300,36047004300,0.0,13.0,NY
36,047,004400,36047004400,0.0,13.0,NY
36,047,004500,36047004500,0.0,13.0,NY
36,047,004600,36047004600,0.0,13.0,NY
36,047,004700,36047004700,0.0,13.0,NY
36,047,004900,36047004900,0.0,13.0,NY
36,047,005000,36047005000,0.0,13.0,NY
36,047,005100,36047005100,0.0,13.0,NY
36,047,005201,36047005201,0.0,13.0,NY
36,047,005202,36047005202,0.0,13.0,NY
36,047,005301,36047005301,0.0,13.0,NY
36,047,005302,36047005302,0.0,13.0,NY
36,047,005303,36047005303,0.0,13.0,NY
36,047,005400,36047005400,0.0,13.0,NY
36,047,005601,36047005601,15.0,23.0,NY
36,047,005602,36047005602,0.0,13.0,NY
36,047,005800,36047005800,0.0,13.0,NY
36,047,005900,36047005900,16.0,34.0,NY
36,047,006000,36047006000,0.0,13.0,NY
36,047,006200,36047006200,0.0,13.0,NY
36,047,006300,36047006300,0.0,13.0,NY
36,047,006400,36047006400,0.0,13.0,NY
36,047,006500,36047006500,0.0,19.0,NY
36,047,006600,36047006600,0.0,13.0,NY
36,047,006700,36047006700,17.0,27.0,NY
36,047,006800,36047006800,43.0,67.0,NY
36,047,006901,36047006901,0.0,13.0,NY
36,047,006902,36047006902,0.0,13.0,NY
36,047,007000,36047007000,0.0,13.0,NY
36,047,007100,36047007100,11.0,18.0,NY
36,047,007200,36047007200,0.0,13.0,NY
36,047,007400,36047007400,0.0,19.0,NY
36,047,007500,36047007500,0.0,13.0,NY
36,047,007600,36047007600,0.0,13.0,NY
36,047,007700,36047007700,0.0,19.0,NY
36,047,007800,36047007800,0.0,19.0,NY
36,047,008000,36047008000,26.0,44.0,NY
36,047,008200,36047008200,35.0,56.0,NY
36,047,008400,36047008400,111.0,181.0,NY
36,047,008500,36047008500,0.0,19.0,NY
36,047,008600,36047008600,0.0,13.0,NY
36,047,008800,36047008800,21.0,38.0,NY
36,047,009001,36047009001,0.0,13.0,NY
36,047,009002,36047009002,0.0,13.0,NY
36,047,009201,36047009201,9.0,14.0,NY
36,047,009202,36047009202,0.0,13.0,NY
36,047,009401,36047009401,0.0,13.0,NY
36,047,009402,36047009402,31.0,32.0,NY
36,047,009600,36047009600,60.0,98.0,NY
36,047,009800,36047009800,0.0,19.0,NY
36,047,010000,36047010000,0.0,19.0,NY
36,047,010100,36047010100,8.0,17.0,NY
36,047,010200,36047010200,0.0,13.0,NY
36,047,010401,36047010401,0.0,13.0,NY
36,047,010402,36047010402,0.0,13.0,NY
36,047,010601,36047010601,0.0,13.0,NY
36,047,010602,36047010602,0.0,13.0,NY
36,047,010801,36047010801,0.0,13.0,NY
36,047,010802,36047010802,0.0,13.0,NY
36,047,011000,36047011000,0.0,13.0,NY
36,047,011200,36047011200,0.0,19.0,NY
36,047,011400,36047011400,0.0,13.0,NY
36,047,011600,36047011600,0.0,13.0,NY
36,047,011700,36047011700,0.0,13.0,NY
36,047,011800,36047011800,0.0,13.0,NY
36,047,011901,36047011901,0.0,13.0,NY
36,047,011902,36047011902,0.0,13.0,NY
36,047,012000,36047012000,0.0,13.0,NY
36,047,012100,36047012100,0.0,13.0,NY
36,047,012200,36047012200,26.0,31.0,NY
36,047,012600,36047012600,27.0,33.0,NY
36,047,012700,36047012700,162.0,242.0,NY
36,047,012801,36047012801,0.0,13.0,NY
36,047,012901,36047012901,0.0,13.0,NY
36,047,012902,36047012902,0.0,13.0,NY
36,047,013000,36047013000,15.0,25.0,NY
36,047,013100,36047013100,0.0,13.0,NY
36,047,013200,36047013200,0.0,13.0,NY
36,047,013300,36047013300,0.0,13.0,NY
36,047,013400,36047013400,20.0,53.0,NY
36,047,013500,36047013500,8.0,13.0,NY
36,047,013600,36047013600,0.0,13.0,NY
36,047,013700,36047013700,0.0,13.0,NY
36,047,013800,36047013800,0.0,13.0,NY
36,047,013900,36047013900,0.0,13.0,NY
